LotArea,YearBuilt,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,SalePrice
12996,1979,1802,326,3,2,5,908961
18434,1994,1982,568,3,2,4,1227292
6731,1967,532,32,3,3,5,455178
18183,2011,1799,411,1,3,7,1160073
14965,1985,1164,811,1,3,5,952689
12154,2001,1613,1137,1,3,5,872514
13762,1968,1115,507,3,5,7,937204
9056,1993,1447,55,3,3,5,677597
18948,1956,659,1375,2,4,6,1192112
12110,1993,957,1352,3,2,6,888277
17773,2017,898,545,1,3,5,1086554
14882,1983,1614,1293,2,2,5,1094017
7840,2015,1080,195,3,5,7,553656
5028,2018,1989,412,2,3,5,511301
11385,2004,719,636,2,4,7,722432
4502,1959,1942,1102,3,2,5,565280
10910,1991,878,1106,1,3,5,784838
16685,1990,1429,741,1,4,8,1113500
13062,2018,1970,136,2,5,8,870883
10938,1959,1463,538,3,4,8,772944
8488,1959,1669,688,3,5,7,720413
4206,2009,732,718,1,2,4,398092
9134,2000,1894,932,3,3,6,795306
9977,1970,1421,305,3,4,7,704946
11721,1957,733,1334,2,4,8,820856
11035,2014,1225,387,3,4,6,779410
5484,1979,866,724,3,5,8,462564
11858,1998,980,914,3,2,5,819635
19934,1958,1886,548,1,2,5,1234882
4863,1966,1089,505,1,3,7,442390
6790,2018,1618,387,2,3,5,577112
11408,2007,715,292,1,2,5,682054
12755,2006,1224,178,1,2,5,804400
9116,2011,1211,671,1,2,5,697354
16383,2001,1484,1452,1,4,6,1157590
10019,2010,1658,1335,2,5,9,885293
5757,1989,1606,79,3,2,6,527027
18820,1987,890,1037,3,3,5,1174802
11574,1992,1570,1077,3,5,9,913692
10374,2012,891,446,2,4,8,732954
10892,1968,1217,765,1,5,8,773544
5678,1999,884,1088,2,2,6,530603
7242,1982,880,1395,2,5,8,626162
8636,1962,1600,502,2,3,7,676089
5059,2011,1782,569,3,5,8,556188
10668,1992,1103,95,1,2,4,698344
17471,1998,1433,1283,3,5,7,1206880
13914,1985,898,584,2,5,9,903709
15506,1959,599,247,2,5,8,915222
7157,1955,882,126,3,3,5,489368
9915,2006,1206,498,3,5,7,729900
14817,1950,1715,45,3,5,9,981111
14921,2020,1868,981,1,4,7,1118719
18892,2007,509,267,3,5,8,1069155
13789,1970,763,93,1,5,7,826556
15252,2005,1791,735,1,4,8,1085982
6693,1969,1331,1339,3,3,5,654261
17083,2003,1129,611,2,3,5,1060987
17339,1974,1261,70,2,4,8,1046201
17931,1977,694,592,1,4,8,1043905
7627,1954,1061,448,1,5,9,558393
13555,1970,1930,1390,1,3,6,1048457
14173,1967,1819,619,2,3,7,991339
9450,1996,596,613,1,5,9,646120
5663,2019,961,1433,1,2,4,539864
13721,2006,1257,90,2,5,9,870330
14230,1968,586,876,3,2,6,915360
19707,2014,1490,527,2,5,7,1217752
9592,1952,576,1133,3,4,7,674573
15494,1991,1669,774,3,5,9,1080188
14429,1970,1160,671,1,4,6,930200
11392,1989,1634,764,1,2,5,856488
17696,2016,1264,1112,3,2,5,1134304
17688,1974,1177,1295,1,4,8,1167150
5306,2004,1820,1270,3,4,7,667919
16221,2001,1949,360,1,3,7,1088790
10776,1993,1290,377,2,3,6,722726
14867,2005,1857,1229,3,5,8,1172001
17260,2004,1082,344,3,4,7,1060862
9864,2019,1170,797,1,2,6,681916
13474,2022,1037,454,2,3,6,895640
11526,2015,1685,907,1,4,6,868835
12901,1968,929,66,2,2,4,817372
9575,1956,1592,986,1,2,5,772783
9530,2012,632,978,3,4,8,748721
16936,1991,688,42,2,5,7,956032
8413,1991,1072,228,2,3,6,623509
7748,2008,778,1467,1,3,5,638035
19584,1969,1953,233,2,4,6,1250371
17545,2022,1041,1222,1,5,7,1163598
16971,1966,1684,496,2,2,4,1129094
4663,1976,1245,847,1,5,7,501347
5998,1996,1398,1055,1,3,6,574702
11994,1951,952,1287,1,4,6,875673
15637,2012,1388,112,3,3,6,993610
15935,2011,1350,972,2,4,6,1101121
17919,1968,669,458,3,5,9,1074963
5495,1966,1329,1299,3,3,6,583087
7304,2018,1197,1169,3,5,9,650727
7763,1988,1580,1380,3,3,7,744617
9232,2020,1763,5,2,5,7,690899
5853,1988,1268,1363,2,3,5,577547
17808,1985,857,991,3,4,6,1152309
10585,1989,700,493,2,5,7,692632
16851,1994,943,1131,2,5,7,1072045
5291,1953,1326,70,1,4,8,435094
7581,1974,1825,938,2,2,6,689509
15649,2018,1629,1363,3,3,5,1145815
11554,1979,600,673,2,3,5,747441
11280,2017,1620,1123,3,4,7,888279
5636,1978,1437,1350,2,3,6,595913
7696,2022,528,1056,3,5,9,640585
15191,2017,1164,142,2,5,9,972349
15344,2000,1961,1267,2,4,8,1137929
4698,1973,1902,735,2,5,7,562203
14352,1963,572,725,3,2,6,893060
16289,2018,753,216,1,3,7,950155
8737,1967,1015,433,3,4,8,661683
18555,1991,1248,833,2,4,7,1170252
17877,2006,1543,1077,3,3,7,1223780
4854,1961,1034,719,2,2,6,418031
12164,1966,920,941,2,4,7,846310
9855,1979,945,906,1,3,7,698349
11392,1972,1378,994,2,2,4,835765
10528,1950,635,1174,2,4,7,741476
15666,1981,1824,54,2,2,6,966029
17949,1958,532,1471,1,4,7,1097868
9249,1964,1146,1058,3,3,7,748652
9172,1977,777,860,1,3,7,657491
5707,1973,632,1006,3,3,6,530217
14969,2009,1249,1142,2,2,4,1007891
9791,1984,625,1220,3,5,8,756273
13925,1976,844,565,3,2,4,894163
9535,1969,516,770,3,3,5,679340
18582,2014,1323,877,3,4,7,1216148
8931,1998,1061,823,2,5,9,696642
7510,1950,1146,513,1,2,4,543850
4202,1959,1129,861,3,2,5,446388
15447,1996,1901,421,2,4,8,1048522
8218,2008,1317,516,2,4,8,625090
16688,2011,559,1162,2,3,7,1062523
12958,1967,966,704,2,2,5,868838
8389,1995,1127,808,3,4,7,700048
6327,1981,890,43,1,4,8,432737
12004,1976,1435,857,2,5,9,881471
6931,1967,1184,800,1,3,7,572357
11777,1988,1710,218,1,3,7,847541
4197,1998,997,567,1,2,5,436375
11125,1993,1099,907,2,4,8,783652
5930,2021,1884,257,2,3,5,576629
15774,2003,948,960,2,2,4,1036022
19087,1983,1179,1400,1,3,6,1243139
10287,2020,1704,892,2,2,4,799691
12800,1985,629,288,2,4,6,796308
15464,1967,648,1493,1,3,5,1041724
13339,1987,1995,971,2,2,5,993710
8282,2008,1317,102,3,2,4,637327
15589,1958,1447,803,3,4,8,1056930
6511,2022,999,1172,3,3,5,637688
19708,2021,1878,1107,3,2,4,1373598
13986,2000,1734,1049,1,2,4,1012128
4659,1984,1157,1198,2,2,6,516997
6811,1954,1553,1445,3,2,5,667501
11098,1963,1076,1369,3,3,6,815829
18243,1979,1547,301,2,5,7,1155664
10546,1953,1483,1321,1,3,7,804274
13561,1988,1222,1158,3,2,4,1009311
5986,2013,721,1078,2,3,6,555869
17822,1974,1101,55,2,3,6,1045868
12338,1977,1183,1014,3,4,8,948045
15411,2015,1241,373,3,4,8,988843
6911,1971,1424,830,2,2,5,599401
5734,1980,1079,919,2,5,8,532409
5843,1972,900,1362,3,4,7,573670
12680,1997,1400,456,3,3,5,872499
6976,1969,1011,1378,3,2,5,642531
5959,1987,587,131,3,5,8,415874
9759,2004,1988,492,1,4,8,784708
10694,2017,549,109,2,2,5,639749
6385,1950,602,581,3,5,8,493803
15111,1956,867,795,2,2,6,931891
8736,2006,1435,1149,3,5,8,749709
5802,1961,1791,1319,1,4,8,676903
12155,1954,1920,1202,2,3,7,937725
12120,1999,1843,809,1,3,7,921369
10616,1991,1972,885,2,4,8,858063
18257,1961,1999,1220,1,4,8,1247703
18486,1967,1397,772,3,4,8,1197582
9534,2015,1408,1124,3,5,9,787021
8061,1966,1763,936,1,5,8,723110
15561,2017,757,572,3,5,7,983555
17922,2020,889,1206,1,5,8,1188321
4262,2011,1866,808,1,5,9,507687
18075,1990,1272,878,2,5,9,1181271
10287,1983,1253,1032,1,5,8,795156
18681,2019,1910,412,2,4,6,1207018
12815,1994,893,829,1,5,8,847869
13208,2007,1182,565,2,2,5,853730
15835,2000,769,103,2,5,8,907749
17168,1983,648,1149,3,3,5,1090628
6049,1993,1903,676,2,3,7,624386
19232,1964,1310,944,2,4,6,1228567
9423,2019,527,269,1,3,6,594653
18589,1999,1672,465,2,3,6,1166883
15915,1981,1943,800,3,3,5,1082317
8548,2016,779,1141,1,4,6,676041
7108,1952,1705,1115,2,4,8,664786
17471,2000,665,1004,1,5,9,1054431
16282,2016,516,1110,1,3,5,1010619
11158,1997,1673,233,1,5,9,802586
14248,1966,838,912,1,4,7,930251
11400,1956,1568,1147,1,5,7,882277
7170,1962,1341,1226,2,5,9,649889
13874,2015,688,1055,1,3,6,924388
19151,1953,1150,356,1,4,6,1138641
6255,1959,1584,1486,3,3,7,649925
5154,1966,793,963,3,5,8,470757
8499,2001,1556,93,1,4,6,639075
10295,1955,1822,1431,2,5,9,903929
10197,2018,914,1123,3,5,8,800823
15383,1958,1302,243,3,3,6,974314
13888,1970,930,57,1,4,7,841767
16183,1973,1623,964,2,4,7,1162178
16915,1953,1546,1380,2,3,5,1180006
16874,1973,1943,319,3,2,5,1119948
5648,2008,1947,1042,3,3,5,654592
9539,1952,986,356,3,3,5,671756
13637,2017,588,116,3,2,6,785632
8199,1989,1732,1159,3,4,6,764292
16115,1997,770,295,1,2,5,966427
12445,2003,1399,524,1,5,7,900362
19586,1984,1929,1124,1,5,7,1330203
15375,2005,777,1403,3,3,7,1039164
6557,1989,705,1178,1,5,7,566149
9592,2017,1412,1128,3,2,6,780821
4098,1995,827,1151,2,5,7,492585
6200,1962,1357,400,2,4,8,538917
18172,1976,1376,738,1,3,5,1151748
6961,1955,1361,528,2,3,6,595721
18207,1966,835,556,2,4,6,1071181
8973,1985,1105,549,2,4,8,623110
8433,1951,1091,1147,1,3,7,679184
15969,2001,1561,359,2,4,7,1067229
6869,2015,1513,63,1,5,8,552703
15426,2001,1751,764,3,5,9,1079517
15983,1992,1657,773,3,5,8,1090613
4956,1971,1207,623,1,5,7,447410
17992,2004,1477,101,1,2,4,1106903
16259,2016,1913,560,2,2,5,1126409
12352,2009,924,1300,3,2,4,916061
9699,2007,1086,1250,2,2,4,765795
10944,1961,1305,1046,3,5,8,817478
8493,2018,1219,843,2,5,9,681951
13492,1988,1950,1087,2,4,6,1041672
8911,1962,1448,1180,3,2,5,731203
7987,1990,1154,1413,2,2,6,696013
13719,2006,973,1172,3,3,5,941900
10015,2002,1067,838,1,4,6,722913
17703,1961,1884,1386,2,5,8,1237411
17446,1962,710,680,3,4,6,1065225
5218,2006,1702,1487,3,4,8,617338
8496,1989,1581,644,2,3,6,678792
8735,1994,1596,398,3,3,6,711372
15296,1984,714,404,2,4,7,947776
14927,1952,1399,825,2,2,5,1012765
8555,1954,1596,1155,1,5,9,767358
13146,1960,966,1220,1,3,7,877507
12050,2020,1794,646,1,3,7,890672
16757,2005,853,34,2,5,9,989559
7446,1959,1757,419,2,3,7,666637
5045,1983,1842,376,3,4,8,529200
10893,2016,1542,1422,1,5,8,911876
5693,2021,1124,219,1,2,5,494122
18373,1980,871,696,3,3,6,1131955
18565,2020,683,341,1,3,7,1067267
7436,2015,1800,752,1,4,7,668848
12754,2019,1173,415,1,2,6,802971
14677,1990,1254,1479,3,3,6,1054966
9895,2012,1668,1320,1,5,9,818722
7354,1981,1604,937,2,5,9,691744
18362,1969,821,1354,1,4,8,1140056
4225,2006,934,1006,2,4,6,469894
19636,1999,1566,679,1,3,5,1268753
8893,1974,1836,1362,2,4,8,826229
19968,1961,792,747,1,5,8,1180939
18619,2020,1187,805,2,4,8,1206426
11022,1988,1387,1321,2,5,9,878493
13151,1966,568,311,1,3,5,766103
9600,1994,555,54,3,5,9,601831
16740,1960,1130,693,1,4,6,1061158
15259,2019,1727,533,3,5,8,1033517
11996,1972,919,104,3,5,8,753618
13007,2019,1066,1198,3,2,5,944944
16946,1987,1049,293,3,2,6,1022346
11683,1951,742,879,3,3,5,765713
8642,2021,1724,550,3,5,9,717973
17503,1986,1247,910,1,5,8,1140092
15312,1998,1997,374,2,5,9,1071757
11679,2001,1026,449,2,2,4,798441
12208,1982,576,1468,1,5,7,875015
11339,1971,939,1083,1,2,5,810831
13435,1954,1786,1415,1,3,6,979618
6205,1967,1708,811,3,5,8,637309
14716,1987,1578,389,3,5,9,988256
5069,1986,1831,1235,2,4,6,582019
7444,2013,1015,666,1,2,6,590358
14757,1959,1822,1263,2,4,7,1092628
18434,1991,1753,1145,2,3,5,1276495
18056,1997,1900,1276,3,2,5,1263811
5060,1993,1809,140,3,5,7,515685
6327,1965,1661,1475,2,5,7,643433
7420,2003,1114,873,3,5,8,679819
18832,1984,1530,1176,3,5,7,1250633
4301,1977,1175,1331,3,3,5,502544
16468,1951,1942,1340,2,5,8,1176284
4606,1962,1995,1319,2,5,7,614431
7170,1990,919,842,2,5,8,574638
4699,2008,775,1368,1,4,8,518214
9088,2018,1107,596,2,3,7,686396
13331,2002,1070,1305,3,2,5,929847
4190,1994,589,1231,2,3,5,455297
14492,1969,781,951,1,3,7,946738
4980,1973,1694,551,3,3,6,510829
6975,2010,1137,1119,2,5,8,614462
10102,2007,1310,1475,2,4,6,848673
5184,1976,1878,372,3,4,6,555173
7327,1975,1727,647,2,4,6,631180
7394,1956,1812,1096,1,4,7,710771
12319,1991,1367,332,3,2,6,826676
14257,1996,961,392,2,4,7,925613
5816,2002,1249,1129,3,5,7,567603
9854,2008,1696,1124,2,5,7,822433
10709,1987,800,1382,2,4,7,800581
4569,2018,1099,1352,3,2,4,514126
9442,2002,1028,394,2,4,6,669266
5895,1964,639,34,2,5,8,404313
6733,1975,777,156,3,5,9,488256
7863,1997,1162,903,2,5,7,650670
16913,1968,1010,1296,2,3,7,1090838
11455,1958,1869,966,3,5,9,913190
8014,2013,1663,395,1,4,8,652888
15093,2003,613,206,1,5,9,867270
5686,2000,1079,620,1,2,4,514181
7009,1988,1889,1329,1,3,5,714948
11806,1953,1190,804,1,2,5,824993
4154,1952,1136,461,1,5,7,386826
14729,2013,1920,251,3,3,6,971270
5409,1978,1322,1290,3,3,7,619929
16249,1960,1374,866,3,3,6,1087823
4784,2007,1439,208,2,5,8,473272
15367,1976,1441,954,1,2,4,1042061
12096,1970,1634,538,1,5,8,870980
11560,1988,857,834,3,3,7,782225
16533,1995,1761,502,2,5,7,1090874
11343,2015,502,955,2,3,5,746830
11206,1985,903,513,3,3,5,768425
9596,2014,524,579,1,3,7,610033
9801,2012,1008,1171,2,5,8,740974
6806,1984,1195,839,1,5,7,576049
4537,1980,1988,985,2,3,6,562704
9986,1977,560,82,1,4,8,600606
5841,1950,622,1065,2,2,6,481024
17208,1974,554,155,1,3,7,973186
14647,1992,1686,452,1,3,5,1007089
12716,2016,1473,1307,1,3,5,959583
10971,2012,1562,1211,3,3,6,912689
9625,2000,1606,616,1,3,6,754448
6950,1951,1045,623,1,4,6,525499
11992,2013,612,1497,2,5,9,857465
16323,2018,924,506,2,4,8,1001605
8780,1958,1417,1156,3,3,5,739881
16307,1951,729,1294,2,3,6,1047372
6368,1983,1806,621,1,3,7,607894
16039,2009,1416,1096,3,5,7,1122712
10655,2010,1810,1459,3,2,5,922603
12173,1980,654,292,3,2,5,728892
8495,1959,664,654,1,4,8,594082
14893,1985,1461,936,1,4,8,1015282
13163,1998,1705,756,2,2,6,937624
10002,2019,1762,1460,2,3,7,865070
10614,1998,1148,995,2,5,8,834625
13358,1952,1862,666,3,4,6,947705
17403,1954,1437,59,1,5,8,1069485
19713,2010,1011,326,2,3,7,1171417
17121,1975,1431,1205,1,3,5,1124949
9919,2021,765,798,3,4,7,717599
14966,1954,686,784,1,2,4,869768
14174,1964,1563,766,1,2,5,1000191
4853,1965,890,1457,3,2,4,514488
8146,1950,1783,518,2,3,6,694709
15928,1965,1154,637,1,3,6,1031914
7769,1986,675,82,1,5,9,498588
4574,1952,1273,27,3,5,8,414886
15453,2001,1263,265,1,5,9,979458
5148,1996,1852,1306,1,3,6,650005
10293,1962,1430,396,1,2,4,717024
10457,2004,1723,961,3,3,5,851374
18905,1970,1210,762,1,5,9,1155468
11509,2015,1719,979,3,5,8,901869
18640,2003,1325,1406,2,5,9,1256006
13907,1976,1088,810,1,5,7,953976
8777,1987,1030,580,3,4,7,698813
17125,2007,1585,1342,3,5,9,1231072
7854,2011,1850,610,1,3,5,689018
17365,1995,780,192,3,4,6,1042647
19338,1960,726,226,2,2,5,1081406
6491,2021,1138,450,2,3,6,567448
14852,1957,1581,1205,2,3,6,1029679
19328,2020,1420,931,2,2,6,1243404
18599,2013,976,1350,3,3,7,1239516
7124,1970,1899,654,3,4,7,657876
9691,2021,1215,202,2,2,5,726919
7051,2012,742,401,2,4,7,538802
19979,2013,866,471,2,5,7,1216220
4004,1969,1435,889,2,2,5,453121
9222,1957,1337,178,2,4,8,673999
9315,2007,1775,1041,3,5,7,835650
8869,1995,1405,462,2,4,7,714940
4876,1980,1845,834,2,4,8,516856
13183,1958,875,608,1,3,5,819238
11027,1964,1932,925,3,5,7,902977
19709,1975,1210,1426,2,3,7,1298875
8142,1959,842,1416,3,5,9,689699
19202,1978,739,935,1,5,7,1140341
10966,1985,638,299,1,3,7,681430
11079,1986,1645,350,2,3,5,805420
11987,2020,919,186,2,3,5,765789
10799,1972,803,1370,2,5,7,808113
16556,1990,614,622,2,5,7,1027243
8465,1977,842,1432,1,5,8,690669
4635,1997,1774,70,3,5,9,460247
17417,1987,506,1350,2,5,8,1140618
5693,1980,1230,1235,3,5,8,622091
13874,1963,678,308,2,4,7,835406
8752,2022,1668,1131,2,3,6,791601
12311,1978,915,176,1,5,7,737569
4830,2000,1165,426,2,4,6,452710
18098,1998,1644,739,2,2,4,1153316
15867,1992,1647,530,2,4,6,1086142
9177,2021,649,417,1,3,6,581830
18262,1954,896,247,3,2,4,1060373
13561,1991,880,208,1,5,8,838464
12932,1956,1338,215,2,3,5,855178
19833,1991,500,712,2,2,6,1165694
12308,1985,743,437,2,4,8,806759
9949,1976,1921,310,3,2,6,784427
6838,2007,1774,382,3,3,7,645770
5150,1995,1378,980,2,2,4,501698
11560,2015,1822,1294,2,4,8,939407
5931,1974,1259,120,3,2,6,490677
13204,2022,1453,406,1,4,7,929174
5664,1976,1820,244,1,2,6,507299
5081,1950,1476,65,3,4,6,497452
16921,1991,1638,941,3,4,7,1173311
4512,2001,500,227,2,4,6,339367
15041,1974,1052,881,3,5,8,984459
17407,2003,981,136,3,4,6,1062663
11805,2016,1099,193,2,3,7,761447
9237,1955,1262,705,3,4,7,704605
4559,2007,834,657,2,5,9,442391
7672,2019,964,656,1,5,7,605290
16775,2002,1664,1377,1,3,5,1221699
11404,2015,1082,929,1,4,7,828676
17184,2007,636,555,2,5,7,1028304
7343,1951,1503,1180,1,5,7,655821
17500,1971,1449,957,1,2,5,1175244
8070,1986,1186,1499,2,2,6,702490
16991,1969,666,1039,2,3,6,1072445
13662,1973,1866,1101,1,2,4,1010543
4580,2014,1933,51,1,4,6,485011
19125,2014,1409,513,1,2,5,1215615
11004,1950,1379,743,3,5,8,823054
14486,1952,1341,1084,2,3,7,1018749
12130,1995,564,1155,2,2,4,828014
7147,2004,1590,1405,2,3,5,698978
8249,2013,932,691,2,4,8,643531
5679,1994,1573,542,1,4,7,525632
7506,1975,1837,409,2,2,5,614127
17284,2014,1832,154,3,2,6,1133630
11253,1973,614,632,3,2,5,743430
6744,1984,1068,50,1,5,9,501426
15548,1973,1865,1023,1,4,7,1102640
16237,1977,1141,993,2,5,8,1076905
13435,1965,994,1118,1,2,5,885780
9188,2008,1792,523,1,4,8,701052
15310,2003,1440,354,1,5,9,1013556
17296,1965,1603,1068,3,5,9,1208887
6141,1964,1979,801,2,3,5,619231
18061,1960,1822,1228,1,5,7,1275486
17245,2014,1467,839,2,2,6,1152049
15251,2017,1321,1454,2,2,4,1096908
16740,1992,701,255,2,5,7,1030550
17515,2018,1148,247,3,3,6,1055550
15151,1962,1059,532,2,3,6,954305
14457,1959,1541,40,2,3,6,901608
10617,1990,977,1482,1,5,7,816395
6479,1999,987,789,1,5,7,549904
10484,2020,1482,1300,3,3,7,867510
16838,2008,1278,194,2,5,7,1030032
13827,1988,1969,1094,3,4,6,1060410
17600,1952,839,1293,2,2,6,1107302
11421,1956,1111,1358,3,5,9,898682
13949,1998,615,307,2,4,8,859340
8452,1975,573,1450,1,5,8,674278
14262,1982,1792,1222,3,4,8,1064582
9881,1997,615,75,1,3,6,605245
10665,1951,1687,786,2,2,4,824986
18069,2020,1745,794,3,5,7,1226542
19459,1981,625,229,1,4,7,1065849
6849,1953,1156,84,1,4,7,511732
15443,1969,1699,1185,1,3,6,1101843
11390,1985,1163,396,2,2,4,772323
10905,1981,1898,1394,3,2,4,908574
15922,1977,1490,214,1,2,6,1013797
6489,1950,1517,1024,2,4,8,641527
